Corte,Duração_C02,Duração_C03,Duração_C04,Diferença_Segundos,Maior,Menor
000,92.00,92.00,92.00,0.00,C02,C02
001,125.00,113.00,125.00,12.00,C02,C03
002,183.00,165.00,184.00,19.00,C04,C03
003,98.00,98.00,97.00,1.00,C02,C04
004,107.00,102.00,106.00,5.00,C02,C03
005,132.00,139.00,133.00,7.00,C03,C02
006,124.00,107.00,124.00,17.00,C02,C03
007,73.00,73.00,76.00,3.00,C04,C02
008,124.00,124.00,123.00,1.00,C02,C04
009,94.00,74.00,94.00,20.00,C02,C03
010,199.00,198.00,198.00,1.00,C02,C03
011,90.00,89.00,89.00,1.00,C02,C03
012,190.00,190.00,129.00,61.00,C02,C04
013,160.00,160.00,160.00,0.00,C02,C02
014,279.00,278.00,275.00,4.00,C02,C04
015,65.00,65.00,65.00,0.00,C02,C02
